Filename,Identifier,scientificName,CommonName,Comments
"Macaria_delia,I_MFS9023.jpg",I_MFS9023,Macaria delia,,
"moth,I_MFS9024.jpg",I_MFS9024,moth,,
"Gn_sp_san_luis_1005,I_MFS9025.jpg",I_MFS9025,Gn sp_san_luis_1005,,
"Thysanopyga_carfinia,I_MFS9026.jpg",I_MFS9026,Thysanopyga carfinia,,
"Himeromima_aulis,I_MFS9027.jpg",I_MFS9027,Himeromima aulis,,
"Idalus_borealis,I_MFS9028.jpg",I_MFS9028,Idalus borealis,,
"moth_Sphingidae,I_MFS9029.jpg",I_MFS9029,moth Sphingidae,,
"Periclina_sp_san_luis_a,I_MFS9030.jpg",I_MFS9030,Periclina sp_san_luis_a,,
"moth,I_MFS9031.jpg",I_MFS9031,moth,,
"moth_Eucereon,I_MFS9032.jpg",I_MFS9032,moth Eucereon,,
"Nematocampa_completa,I_MFS9033.jpg",I_MFS9033,Nematocampa completa,,
"Rhabdatomis_laudamia,I_MFS9034.jpg",I_MFS9034,Rhabdatomis laudamia,,
"moth_Geometridae,I_MFS9035.jpg",I_MFS9035,moth Geometridae,,
"moth_Notodontidae,I_MFS9036.jpg",I_MFS9036,moth Notodontidae,,
"moth_Geometridae,I_MFS9037.jpg",I_MFS9037,moth Geometridae,,
"Meganola_sp_san_luis_b,I_MFS9038.jpg",I_MFS9038,Meganola sp_san_luis_b,,
"Iridopsis_validaria,I_MFS9039.jpg",I_MFS9039,Iridopsis validaria,,
"Rhabdatomis_laudamia,I_MFS9040.jpg",I_MFS9040,Rhabdatomis laudamia,,
"Iridopsis_lurida--oberthuri--herse,I_MFS9041.jpg",I_MFS9041,Iridopsis lurida--oberthuri--herse,,
"Meganola_sp_san_luis_b,I_MFS9042.jpg",I_MFS9042,Meganola sp_san_luis_b,,
"Hygrochroma_olivinaria,I_MFS9043.jpg",I_MFS9043,Hygrochroma olivinaria,,
"Crinodes_schausi,I_MFS9044.jpg",I_MFS9044,Crinodes schausi,,
"moth,I_MFS9045.jpg",I_MFS9045,moth,,
"insect,I_MFS9046.jpg",I_MFS9046,insect,,
"moth_Noctuidae,I_MFS9047.jpg",I_MFS9047,moth Noctuidae,,
"moth_Notodontidae,I_MFS9048.jpg",I_MFS9048,moth Notodontidae,,
"moth_Crambidae,I_MFS9049.jpg",I_MFS9049,moth Crambidae,,
"Oospila_venezuelata,I_MFS9050.jpg",I_MFS9050,Oospila venezuelata,,
"moth,I_MFS9051.jpg",I_MFS9051,moth,,
"moth_Notodontidae,I_MFS9052.jpg",I_MFS9052,moth Notodontidae,,
"Nemoria_vermiculata,I_MFS9053.jpg",I_MFS9053,Nemoria vermiculata,,
"Opisthoxia_miletia,I_MFS9054.jpg",I_MFS9054,Opisthoxia miletia,,
"Epimecis_semicompleta,I_MFS9055.jpg",I_MFS9055,Epimecis semicompleta,,
"Spragueia_lepus,I_MFS9056.jpg",I_MFS9056,Spragueia lepus,,
"moth_Geometridae,I_MFS9057.jpg",I_MFS9057,moth Geometridae,,
"Macaria_approximaria--gambarina--ostia,I_MFS9058.jpg",I_MFS9058,Macaria approximaria--gambarina--ostia,,
