Filename,Identifier,scientificName,CommonName,Comments
"moth_Crambidae,I_MFS14609.jpg",I_MFS14609,moth Crambidae,,
"Meganola_sp_san_luis_b,I_MFS14610.jpg",I_MFS14610,Meganola sp_san_luis_b,,
"moth_Crambidae,I_MFS14611.jpg",I_MFS14611,moth Crambidae,,
"moth_Notodontidae,I_MFS14612.jpg",I_MFS14612,moth Notodontidae,,
"Argyria_lacteella,_Milky_Urola_Moth,I_MFS14613.jpg",I_MFS14613,Argyria lacteella,Milky Urola Moth,
"moth_Herbita,I_MFS14614.jpg",I_MFS14614,moth Herbita,,
"Micrathetis_dasarada,I_MFS14615.jpg",I_MFS14615,Micrathetis dasarada,,
"Phyllodonta_latrata,I_MFS14616.jpg",I_MFS14616,Phyllodonta latrata,,
"moth,I_MFS14617.jpg",I_MFS14617,moth,,
"moth_Geometridae,I_MFS14618.jpg",I_MFS14618,moth Geometridae,,
"moth_Noctuidae,I_MFS14619.jpg",I_MFS14619,moth Noctuidae,,
"moth_Noctuidae,I_MFS14620.jpg",I_MFS14620,moth Noctuidae,,
"Nematocampa_arenosa,I_MFS14621.jpg",I_MFS14621,Nematocampa arenosa,,
"Glena_mopsaria,I_MFS14622.jpg",I_MFS14622,Glena mopsaria,,
"Scopula_sp_group_san_luis,I_MFS14623.jpg",I_MFS14623,Scopula sp_group_san_luis,,
"Nematocampa_arenosa,I_MFS14624.jpg",I_MFS14624,Nematocampa arenosa,,
"moth_Notodontidae,I_MFS14625.jpg",I_MFS14625,moth Notodontidae,,
"moth_Crambidae,I_MFS14626.jpg",I_MFS14626,moth Crambidae,,
"moth,I_MFS14627.jpg",I_MFS14627,moth,,
"moth_Sphingidae,I_MFS14628.jpg",I_MFS14628,moth Sphingidae,,
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_MFS14629.jpg",I_MFS14629,Lophosis labeculata,Stained Lophosis Moth,
"moth,I_MFS14630.jpg",I_MFS14630,moth,,
"Clemensia_brunneomedia,I_MFS14631.jpg",I_MFS14631,Clemensia brunneomedia,,
"Clemensia_cincinnata,I_MFS14632.jpg",I_MFS14632,Clemensia cincinnata,,
"moth,I_MFS14633.jpg",I_MFS14633,moth,,
"Glena_mopsaria,I_MFS14634.jpg",I_MFS14634,Glena mopsaria,,
"moth,I_MFS14635.jpg",I_MFS14635,moth,,
"Eupithecia_sp_group_san_luis,I_MFS14636.jpg",I_MFS14636,Eupithecia sp_group_san_luis,,
"moth_Crambidae,I_MFS14637.jpg",I_MFS14637,moth Crambidae,,
"Clemensia_cincinnata,I_MFS14638.jpg",I_MFS14638,Clemensia cincinnata,,
"Clemensia_brunneomedia,I_MFS14639.jpg",I_MFS14639,Clemensia brunneomedia,,
"Meganola_sp_san_luis_b,I_MFS14640.jpg",I_MFS14640,Meganola sp_san_luis_b,,
"moth,I_MFS14641.jpg",I_MFS14641,moth,,
"insect,I_MFS14642.jpg",I_MFS14642,insect,,
"moth_Macrodes,I_MFS14643.jpg",I_MFS14643,moth Macrodes,,
"moth_Geometridae,I_MFS14644.jpg",I_MFS14644,moth Geometridae,,
"moth,I_MFS14645.jpg",I_MFS14645,moth,,
"moth,I_MFS14646.jpg",I_MFS14646,moth,,
